status,message,id,terrestrial_date,ls,season,min_temp,max_temp,pressure,pressure_string,abs_humidity,wind_speed,atmo_opacity,sunrise,sunset,local_uv_irradiance_index,min_gts_temp,max_gts_temp,wind_direction,sol,unitOfMeasure,TZ_Data
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,1.00,2012-08-07T00:00:00.000Z,150.00,Month 6,NaN,NaN,NaN,Lower,NaN,NaN,Sunny,05:30,17:22,NaN,NaN,NaN,NaN,1.00,Celsius,America/Port_of_Spain
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,202.00,2012-10-06T00:00:00.000Z,183.00,Month 7,-75.00,-2.00,772.00,Higher,NaN,NaN,Sunny,05:19,17:20,Very_High,-84.00,12.00,NaN,60.00,Celsius,America/Port_of_Spain
200,NaN,203.00,2012-10-07T00:00:00.000Z,184.00,Month 7,-72.00,-2.00,772.00,Higher,NaN,NaN,Sunny,05:19,17:20,Very_High,-83.00,13.00,NaN,61.00,Celsius,America/Port_of_Spain
200,NaN,204.00,2012-10-08T00:00:00.000Z,184.00,Month 7,-72.00,-1.00,774.00,Higher,NaN,NaN,Sunny,05:19,17:20,Very_High,-82.00,11.00,NaN,62.00,Celsius,America/Port_of_Spain
200,NaN,205.00,2012-10-09T00:00:00.000Z,185.00,Month 7,-73.00,0.00,775.00,Higher,NaN,NaN,Sunny,05:19,17:20,Very_High,-81.00,12.00,NaN,63.00,Celsius,America/Port_of_Spain
200,NaN,206.00,2012-10-10T00:00:00.000Z,186.00,Month 7,-74.00,0.00,776.00,Higher,NaN,NaN,Sunny,05:19,17:20,Very_High,-83.00,12.00,NaN,64.00,Celsius,America/Port_of_Spain
200,NaN,207.00,2012-10-11T00:00:00.000Z,186.00,Month 7,-72.00,-2.00,777.00,Higher,NaN,NaN,Sunny,05:19,17:20,Very_High,-82.00,12.00,NaN,65.00,Celsius,America/Port_of_Spain
200,NaN,208.00,2012-10-12T00:00:00.000Z,187.00,Month 7,-73.00,-2.00,778.00,Higher,NaN,NaN,Sunny,05:18,17:21,Very_High,-83.00,12.00,NaN,66.00,Celsius,America/Port_of_Spain
200,NaN,209.00,2012-10-13T00:00:00.000Z,187.00,Month 7,-73.00,-6.00,780.00,Higher,NaN,NaN,Sunny,05:18,17:21,Very_High,-81.00,13.00,NaN,67.00,Celsius,America/Port_of_Spain
200,NaN,210.00,2012-10-14T00:00:00.000Z,188.00,Month 7,-71.00,-2.00,781.00,Higher,NaN,NaN,Sunny,05:18,17:21,Very_High,-80.00,12.00,NaN,68.00,Celsius,America/Port_of_Spain
200,NaN,211.00,2012-10-15T00:00:00.000Z,189.00,Month 7,-73.00,0.00,778.00,Higher,NaN,NaN,Sunny,05:18,17:21,High,-82.00,12.00,NaN,69.00,Celsius,America/Port_of_Spain
